Language;Message
German;Ich programmiere gerne mit C#, F#, und Machine Learning mit ML.NET finde ich echt richtig gut.
French;J'aime programmer en C#, F#, et l'apprentissage machine avec ML.NET est vraiment bon.
Italian;Mi piace programmare con C#, F#, e il Machine Learning con ML.NET è davvero buono.
English;I like programming with C#, F#, and Machine Learning with ML.NET is really good.
German;Wenn ich mal nicht am Computer sitze, dann geniesse ich draussen die Sonne.
French;Quand je ne suis pas assis devant l'ordinateur, je profite du soleil dehors.
Italian;Quando non sono seduto al computer, mi godo il sole fuori.
English;When I am not sitting at the computer, I enjoy the sun outside.
German;Wer hat denn diesen Code eingecheckt? Warst Du das? Oh, das war ja ich.
French;Qui a enregistré ce code ? Était-ce vous ? Oh, c'était moi.
Italian;Chi ha effettuato il check-in in questo codice? Sei stato tu? Oh, quello ero io.
English;Who checked in this code? Was it you? Oh, that was me.
German;Gestern Abend habe ich ein neues Buch angefangen zu lesen. Liest Du auch gerade ein Buch?
French;Hier soir, j'ai commencé à lire un nouveau livre. Vous lisez aussi un livre?
Italian;Ieri sera ho iniziato a leggere un nuovo libro. Anche tu stai leggendo un libro?
English;Last night I started reading a new book. Are you reading a book, too?
German;Danke für Deinen Besuch !
French;Merci de votre visite !
Italian;Grazie per aver visitato !
English;Thank you for visiting !
German;Hallo, ich bin Thomas. Wer bist Du?
French;Salut, je m'appelle Thomas. Qui êtes-vous?
Italian;Ciao, sono Thomas. Chi sei?
English;Hi, I'm Thomas. Who are you?
Spanish;Me gusta programar con C#, F#, y me gusta mucho el aprendizaje automático con ML.NET.
Spanish;Cuando no estoy frente al ordenador, disfruto del sol al aire libre.
Spanish;¿Quién registró este código? ¿Fuiste tú? Oh, fui yo.
Spanish;Anoche empecé a leer un libro nuevo. ¿Tú también estás leyendo un libro?
Spanish;Gracias por visitar thomas.
Spanish;Hola, soy Thomas. ¿Y tú quién eres?
German;Sehr gute Veranstaltung !
French;Très bon évènement !
Italian;Evento molto bello !
English;Very good event !
Spanish;Muy buen evento !
German;schlechte Veranstaltung und schlechte Organisation.
French;mauvais évènement et mauvaise organisation.
Italian;brutto evento e cattiva organizzazione.
English;bad event and bad organization.
Spanish;Mal evento y mala organización.
